LOCALIDAD_CODE,DEPARTAMENTO,size,DPTOLOC_COD,LOC_NOMBRE,DPTO_CODIGO,DPTO_NOMBRE,LAT,LON
05938,05,120,05938,COLONIA COSMOPOLITA,05,Colonia,-34.3846683,-57.4009854
11935,11,119,11935,LA TENTACION,11,Paysandú,-32.4868809,-57.7450074
11955,11,118,11955,ESTACION PORVENIR,11,Paysandú,-32.3699555,-57.8551084
07925,07,118,07925,JUAN JOSE CASTRO,07,Flores,-33.4931979,-56.7436027
05959,05,117,05959,PLAYA AZUL,05,Colonia,-34.434767,-57.2639212
11961,11,117,11961,EL ESPINILLO,11,Paysandú,-32.3979043,-58.1360543
11828,11,117,11828,PIÑERA,11,Paysandú,-32.3296412,-57.0487468
13929,13,116,13929,CERRILLADA,13,Rivera,-31.4381166,-54.714837
03341,03,116,03341,BARRA DE PEDRERA,03,Canelones,-34.6030376,-55.9216356
03349,03,115,03349,PILAR DE LOS HORNEROS,03,Canelones,-34.7928474,-55.9725523
09821,09,113,09821,COLON,09,Lavalleja,-33.8768183,-54.7208963
03325,03,113,03325,CUMBRES DE CARRASCO,03,Canelones,-34.7630516,-55.9581768
10935,10,112,10935,EL EDEN,10,Maldonado,-34.9085678,-54.8629832
17928,17,110,17928,EL TALA,17,Soriano,-33.2036283,-57.4124493
10829,10,109,10829,PUEBLO SOLIS,10,Maldonado,,
19896,19,109,19896,VALENTINES,19,Treinta y Tres,-33.2583341,-55.1033958
03336,03,108,03336,EL COLORADO,03,Canelones,-34.679769,-56.2986338
18992,18,107,18992,PUNTA DE CARRETERA,18,Tacuarembó,-32.0829003,-55.1856476
15945,15,107,15945,LAURELES,15,Salto,-31.4987591,-57.5259895
04930,04,107,04930,CASERIO LAS CAÑAS,04,Cerro Largo,-32.3524408,-53.8226463
05961,05,107,05961,PLAYA PARANT,05,Colonia,-34.4338672,-57.2565561
03966,03,106,03966,PASO PALOMEQUE,03,Canelones,-34.5165643,-56.2595274
12825,12,106,12825,SAUCE,12,Río Negro,-32.9018361,-57.7381882
10990,10,105,10990,PUEBLO MIO,10,Maldonado,-34.8701243,-54.8368756
03991,03,105,03991,VILLA JUANA,03,Canelones,-34.7761723,-55.8940367
14926,14,104,14926,BARRIO TORRES,14,Rocha,-34.2117839,-53.8455919
05964,05,102,05964,PUERTO INGLES,05,Colonia,-34.2032773,-58.066059
03996,03,102,03996,QUINTAS DEL BOSQUE,03,Canelones,-34.8194975,-55.9904998
05927,05,100,05927,EL ENSUEÑO,05,Colonia,-34.421706,-57.6031661
